Date,Entry Time,Signal,Regime,Exit Reason,PnL,Entry,Exit,Ticker
2025-12-22,2025-12-22 12:15:00+05:30,LONG,BULLISH,EOD Square Off,5.300048828125,3134.699951171875,3140.0,SIEMENS
2025-12-24,2025-12-24 12:00:00+05:30,LONG,BULLISH,Hard SL,-11.0499267578125,3138.5,3127.4500732421875,SIEMENS
2025-12-30,2025-12-30 10:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-0.099853515625,3021.60009765625,3021.699951171875,SIEMENS
2026-01-05,2026-01-05 10:00:00+05:30,LONG,BULLISH,Hard SL,-15.6500244140625,3119.699951171875,3104.0499267578125,SIEMENS
2026-01-08,2026-01-08 10:30:00+05:30,SHORT,BEARISH,EOD Square Off,110.300048828125,3119.800048828125,3009.5,SIEMENS
2026-02-10,2026-02-10 10:00:00+05:30,SHORT,BEARISH,Hard SL,-18.7999267578125,3104.10009765625,3122.9000244140625,SIEMENS
2025-12-01,2025-12-01 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-12.0,2856.199951171875,2868.199951171875,ASIANPAINT
2025-12-10,2025-12-10 14:15:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-6.199951171875,2799.800048828125,2806.0,ASIANPAINT
2025-12-17,2025-12-17 12:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-7.2998046875,2778.60009765625,2785.89990234375,ASIANPAINT
2025-12-24,2025-12-24 10:45:00+05:30,SHORT,BEARISH,EOD Square Off,12.89990234375,2798.39990234375,2785.5,ASIANPAINT
2025-12-26,2025-12-26 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,21.5,2768.0,2746.5,ASIANPAINT
2026-01-07,2026-01-07 11:45:00+05:30,SHORT,BEARISH,EOD Square Off,18.60009765625,2824.60009765625,2806.0,ASIANPAINT
2026-01-08,2026-01-08 11:15:00+05:30,SHORT,BEARISH,Hard SL,-14.300048828125,2775.0,2789.300048828125,ASIANPAINT
2026-01-20,2026-01-20 13:15:00+05:30,SHORT,BEARISH,EOD Square Off,21.39990234375,2701.39990234375,2680.0,ASIANPAINT
2026-01-21,2026-01-21 10:15:00+05:30,SHORT,BEARISH,Hard SL,-14.7000732421875,2660.39990234375,2675.0999755859375,ASIANPAINT
2026-01-27,2026-01-27 10:30:00+05:30,SHORT,BEARISH,EOD Square Off,72.099853515625,2694.89990234375,2622.800048828125,ASIANPAINT
2025-12-04,2025-12-04 11:30:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-10.599853515625,3634.300048828125,3644.89990234375,TVSMOTOR
2025-12-09,2025-12-09 09:45:00+05:30,SHORT,BEARISH,Hard SL,-34.699951171875,3546.699951171875,3581.39990234375,TVSMOTOR
2025-12-26,2025-12-26 10:00:00+05:30,SHORT,BEARISH,EOD Square Off,17.599853515625,3647.699951171875,3630.10009765625,TVSMOTOR
2025-12-29,2025-12-29 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,47.0,3626.89990234375,3579.89990234375,TVSMOTOR
2025-12-31,2025-12-31 11:45:00+05:30,LONG,BULLISH,EOD Square Off,30.699951171875,3687.60009765625,3718.300048828125,TVSMOTOR
2026-01-01,2026-01-01 11:00:00+05:30,LONG,BULLISH,EOD Square Off,17.699951171875,3776.699951171875,3794.39990234375,TVSMOTOR
2026-01-05,2026-01-05 10:00:00+05:30,LONG,BULLISH,Trailing SL (Below 21EMA),-26.7998046875,3902.89990234375,3876.10009765625,TVSMOTOR
2026-01-22,2026-01-22 10:45:00+05:30,SHORT,BEARISH,EOD Square Off,38.89990234375,3609.0,3570.10009765625,TVSMOTOR
2026-02-06,2026-02-06 09:45:00+05:30,SHORT,BEARISH,Hard SL,-15.3499755859375,3671.699951171875,3687.0499267578125,TVSMOTOR
2026-02-10,2026-02-10 09:45:00+05:30,SHORT,BEARISH,Hard SL,-12.9000244140625,3748.199951171875,3761.0999755859375,TVSMOTOR
2026-02-16,2026-02-16 11:30:00+05:30,SHORT,BEARISH,EOD Square Off,24.60009765625,3840.0,3815.39990234375,TVSMOTOR
2026-02-18,2026-02-18 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),1.300048828125,3874.5,3873.199951171875,TVSMOTOR
2026-02-19,2026-02-19 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-15.60009765625,3858.39990234375,3874.0,TVSMOTOR
2026-02-23,2026-02-23 12:45:00+05:30,SHORT,BEARISH,EOD Square Off,0.89990234375,3830.0,3829.10009765625,TVSMOTOR
2025-12-17,2025-12-17 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),0.89990234375,2102.5,2101.60009765625,BHARTIARTL
2026-01-01,2026-01-01 14:45:00+05:30,SHORT,BEARISH,EOD Square Off,-1.699951171875,2111.0,2112.699951171875,BHARTIARTL
2026-01-02,2026-01-02 10:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),0.2001953125,2106.60009765625,2106.39990234375,BHARTIARTL
2026-01-09,2026-01-09 10:45:00+05:30,SHORT,BEARISH,EOD Square Off,35.0999755859375,2062.199951171875,2027.0999755859375,BHARTIARTL
2026-01-13,2026-01-13 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-13.199951171875,2016.0,2029.199951171875,BHARTIARTL
2026-01-14,2026-01-14 10:15:00+05:30,SHORT,BEARISH,Hard SL,-12.699951171875,2010.300048828125,2023.0,BHARTIARTL
2026-01-23,2026-01-23 13:00:00+05:30,SHORT,BEARISH,EOD Square Off,12.7000732421875,1997.4000244140625,1984.699951171875,BHARTIARTL
2026-01-28,2026-01-28 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),7.0999755859375,1964.0,1956.9000244140625,BHARTIARTL
2026-01-29,2026-01-29 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-12.0,1940.0,1952.0,BHARTIARTL
2026-02-19,2026-02-19 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,34.9000244140625,2019.9000244140625,1985.0,BHARTIARTL
2025-12-08,2025-12-08 12:45:00+05:30,SHORT,BEARISH,EOD Square Off,2.300048828125,2320.10009765625,2317.800048828125,HINDUNILVR
2025-12-09,2025-12-09 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-14.0,2304.699951171875,2318.699951171875,HINDUNILVR
2025-12-12,2025-12-12 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,33.199951171875,2297.199951171875,2264.0,HINDUNILVR
2025-12-17,2025-12-17 11:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-0.699951171875,2275.0,2275.699951171875,HINDUNILVR
2026-01-13,2026-01-13 11:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),10.89990234375,2394.89990234375,2384.0,HINDUNILVR
2026-01-14,2026-01-14 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,24.699951171875,2374.699951171875,2350.0,HINDUNILVR
2026-01-20,2026-01-20 10:00:00+05:30,LONG,BULLISH,Trailing SL (Below 21EMA),-12.800048828125,2434.199951171875,2421.39990234375,HINDUNILVR
2026-01-21,2026-01-21 10:30:00+05:30,SHORT,BEARISH,Hard SL,-13.699951171875,2375.60009765625,2389.300048828125,HINDUNILVR
